"#";LATITUDE;LONGITUDE;NAME
608;-21.9598;129.745;Mackay
609;-22.2826;133.249;Alice Springs
610;-34.0021;140.589;Calperum Chowilla
611;-30.1914;120.654;Great Western
612;-12.4952;131.15;Howard Springs
613;-13.179;130.795;Litchfield
614;-17.1512;133.351;Sturt Plains
615;63.6205;-117.442;Canada_North1
616;63.3527;-138.683;Canada_North2
617;64.5134;-106.156;Canada_North3
618;67.7455;-115.004;Canada_North4
619;65.933;95.1919;Canada_North5
620;50.0491;-67.4688;Canada_North6
621;52.442;-57.0491;Canada_North7
622;-5.39731;-80.4152;Piura
623;-28.3884;-68.2902;Cienaga
624;-14.6562;-75.4866;SalinerasLasPiletas
625;-6.14731;-40.4598;Missao
626;-13.2187;26.9509;West Three 
627;-15.7991;12.4062;Namibe
628;35.4419;22.9509;Elba NP
629;15.3706;21.8348;Hame
630;16.9063;24.5223;Darfur
631;7.56698;24.7901;Alto Mbomou
632;60.1473;12.6919;Sodralekvattnet
633;63.9955;13.4419;Jamtland
634;60.5848;11.4598;Tangen
635;66.7634;22.2098;Norrbotten
636;67.0313;26.2187;Laponia
637;55.9598;28.4776;Vitebsk
638;48.9866;38.183;Zakaznik Kremennoye
639;54.9241;40.2991;Riazan
640;54.6027;34.2901;Oblast de Smolensk
641;28.3081;71.4062;Rahim Yar Khan
642;35.0223;73.0491;Khargai
643;34.6027;79.4866;Aksai Chin
644;37.933;71.2455;Khizaw
645;37.4688;67.7009;Surjandain
646;39.692;84.933;China_Desert1
647;39.3616;81.7455;China_Desert2
